,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
34340,34340,11440,대흥동,2018-04-10,마포자이2차,804,84.44,13,2014,113000,1338.2283278067266,640,1
34348,34348,11440,도화동,2018-04-11,정우상가맨션,536,64.62,10,1983,32000,495.20272361497985,640,1
34349,34349,11440,도화동,2018-04-11,도화동현대,357,112.09,9,1996,79500,709.2514943349095,640,1
34350,34350,11440,도화동,2018-04-11,한화오벨리스크,555,59.0,34,2004,58000,983.0508474576271,640,1
34351,34351,11440,도화동,2018-04-14,우성,82,79.97,14,1991,71000,887.8329373515069,640,1
34359,34359,11440,동교동,2018-04-10,광남벨라스 1동,200-38,127.8,7,2003,76500,598.5915492957747,640,1
34364,34364,11440,망원동,2018-04-09,함성월드빌2차,511,84.61,10,2004,60000,709.1360359295592,640,1
34365,34365,11440,망원동,2018-04-09,대림2,497,84.73,3,2002,66000,778.9448837483772,640,1
34368,34368,11440,상수동,2018-04-14,래미안밤섬리베뉴 Ⅰ,402,84.99,5,2014,103500,1217.7903282739146,640,1
34374,34374,11440,서교동,2018-04-11,메세나폴리스,490,148.981,21,2012,171000,1147.7973701344467,640,1
34375,34375,11440,서교동,2018-04-12,삼익플라주서교1,488,84.52,8,2007,45000,532.4183625177473,640,1
34383,34383,11440,성산동,2018-04-09,성산시영(유원),446,59.43,11,1986,62000,1043.2441527847889,640,1
34384,34384,11440,성산동,2018-04-09,(13-21),13-21,66.51,3,2006,38000,571.3426552398136,640,1
34397,34397,11440,신공덕동,2018-04-10,펜트라우스,172,104.97,11,2011,102000,971.7062017719348,640,1
34398,34398,11440,신공덕동,2018-04-12,kcc웰츠,171,118.31,17,2011,109000,921.3084270137773,640,1
34407,34407,11440,신수동,2018-04-09,벽산솔렌스힐,457,84.9657,8,2007,79500,935.6716886932021,640,1
34408,34408,11440,신수동,2018-04-09,신수동성원,190,59.76,9,1998,55000,920.3480589022759,640,1
34409,34409,11440,신수동,2018-04-13,대원칸타빌,453,84.96,12,2004,77500,912.1939736346517,640,1
34416,34416,11440,아현동,2018-04-10,예미원,371-1,49.58,3,1970,32000,645.421540943929,640,1
34417,34417,11440,아현동,2018-04-14,서서울삼성,692,48.92,17,1998,46000,940.3107113654946,640,1
34423,34423,11440,염리동,2018-04-13,상록,515-1,57.88,8,1997,53000,915.6876295784381,640,1
34424,34424,11440,염리동,2018-04-14,염리삼성래미안,520,114.48,9,2001,94500,825.4716981132075,640,1
34429,34429,11440,용강동,2018-04-14,래미안마포리버웰,502,114.66,12,2015,149000,1299.494156637014,640,1
34432,34432,11440,중동,2018-04-14,울트라월드컵(참누리),398,84.9572,5,2006,69500,818.0589755782912,640,1
34433,34433,11440,중동,2018-04-14,마포중동현대,392,59.88,21,2001,48000,801.6032064128257,640,1
34438,34438,11440,창전동,2018-04-11,해모로,443,83.85,1,2007,80000,954.0846750149076,640,1
34439,34439,11440,창전동,2018-04-13,신촌태영데시앙,439,84.97,8,2003,76000,894.4333294103801,640,1
34440,34440,11440,창전동,2018-04-13,창전동현대홈타운,440,84.978,3,2005,80000,941.4201322695286,640,1
34441,34441,11440,창전동,2018-04-14,서강예가,444,84.988,8,2007,90000,1058.9730314867982,640,1
34448,34448,11440,하중동,2018-04-14,한강밤섬자이,101,132.54,15,2010,120700,910.6684774407727,640,1
