,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
7933,7933,11440,공덕동,2009-03-02,마포현대,188-108,84.87,7,1988,47000,553.7881465771179,165,1
7934,7934,11440,공덕동,2009-03-02,공덕3삼성래미안,457,84.98,12,2004,67500,794.3045422452342,165,1
7935,7935,11440,공덕동,2009-03-07,공덕3삼성래미안,457,114.98,5,2004,84700,736.6498521481997,165,1
7936,7936,11440,공덕동,2009-03-07,마포현대,188-108,59.95,2,1988,30000,500.417014178482,165,1
7962,7962,11440,노고산동,2009-03-01,신촌포스빌,01월 03일,32.34,12,2004,16900,522.5726654298082,165,1
7975,7975,11440,도화동,2009-03-01,도화동현대,357,128.26,12,1996,64000,498.9864338063309,165,1
7976,7976,11440,도화동,2009-03-02,도화동현대,357,147.37,12,1996,65000,441.0667028567551,165,1
7977,7977,11440,도화동,2009-03-02,도화동현대,357,128.26,15,1996,58000,452.2064556369874,165,1
7978,7978,11440,도화동,2009-03-02,한화오벨리스크,555,75.72,24,2004,37000,488.64236661384047,165,1
7979,7979,11440,도화동,2009-03-04,현대홈타운,353,84.95,11,2000,45500,535.6091818716892,165,1
7980,7980,11440,도화동,2009-03-06,도화현대,547,84.42,11,1998,46000,544.894574745321,165,1
8003,8003,11440,상암동,2009-03-04,상암월드컵파크6단지,1689,84.53,12,2005,61500,727.5523482787177,165,1
8004,8004,11440,상암동,2009-03-07,상암월드컵파크2단지,1637,59.92,6,2003,40000,667.5567423230974,165,1
8005,8005,11440,상암동,2009-03-07,상암월드컵파크3단지,1643,84.84,2,2003,52000,612.9184347006129,165,1
8020,8020,11440,서교동,2009-03-01,기정MAY(247-28),247-28,84.86,5,2004,32500,382.9837379212821,165,1
8029,8029,11440,성산동,2009-03-02,성산시영(선경),446,50.54,11,1986,33000,652.9481598733677,165,1
8030,8030,11440,성산동,2009-03-03,성산시영(선경),446,50.54,8,1986,32000,633.1618519984171,165,1
8031,8031,11440,성산동,2009-03-03,성산동성,597,60.0,7,1999,25000,416.6666666666667,165,1
8056,8056,11440,신공덕동,2009-03-03,신공덕1차삼성래미안1아파트,155,114.75,21,2000,73000,636.165577342048,165,1
8057,8057,11440,신공덕동,2009-03-07,대우메트로디오빌,167,29.11,20,2005,17350,596.0151150807283,165,1
8063,8063,11440,신수동,2009-03-04,경남아너스빌,455,84.97,7,2005,42000,494.2921030952101,165,1
8069,8069,11440,신정동,2009-03-06,서강GS,30,84.97,22,1999,53000,623.7495586677651,165,1
8075,8075,11440,연남동,2009-03-04,코오롱,573,59.76,3,2003,33000,552.2088353413654,165,1
8078,8078,11440,염리동,2009-03-01,염리삼성래미안,520,59.52,17,2001,33600,564.516129032258,165,1
8079,8079,11440,염리동,2009-03-02,염리삼성래미안,520,84.96,6,2001,49900,587.3352165725048,165,1
8080,8080,11440,염리동,2009-03-02,마포자이,521,113.803,18,2003,93000,817.201655492386,165,1
8081,8081,11440,염리동,2009-03-02,염리삼성래미안,520,59.52,13,2001,34950,587.1975806451612,165,1
8082,8082,11440,염리동,2009-03-04,중앙하이츠,161-1,83.82,17,1998,36000,429.49176807444525,165,1
8097,8097,11440,창전동,2009-03-02,창전동현대홈타운,440,59.651,16,2005,42000,704.0954887596184,165,1
8098,8098,11440,창전동,2009-03-04,신촌태영데시앙,439,84.97,13,2003,50300,591.9736377545016,165,1
8099,8099,11440,창전동,2009-03-04,서강예가,444,84.988,15,2007,52000,611.8510848590389,165,1
8100,8100,11440,창전동,2009-03-06,신촌태영데시앙,439,84.97,7,2003,47100,554.3132870424856,165,1
