,date,headline,keyword
0,2016.10.09. 오후 10:02,화물연대 파업 대비…코레일 컨테이너 증편운행,"[('화물연대', 'ORGANIZATION'), (' ', 'O'), ('파업', 'O'), (' ', 'O'), ('대비…', 'O'), ('코레일', 'ORGANIZATION'), (' ', 'O'), ('컨테이너', 'O'), (' ', 'O'), ('증편운행', 'O')]"
1,2016.10.09. 오후 9:52,국토부 화물연대 집단운송거부 대비 위기경보 경계로 격상,"[('국토부', 'ORGANIZATION'), (' ', 'O'), ('화물연대', 'O'), (' ', 'O'), ('집단운송거부', 'O'), (' ', 'O'), ('대비', 'O'), (' ', 'O'), ('위기경보', 'O'), (' ', 'O'), ('경계로', 'O'), (' ', 'O'), ('격상', 'O')]"
2,2016.10.09. 오후 8:56,재건축의 힘… 강남권 청약 몰리고 가격 뛰어,"[('재건축의', 'O'), (' ', 'O'), ('힘…', 'O'), (' ', 'O'), ('강남권', 'LOCATION'), (' ', 'O'), ('청약', 'O'), (' ', 'O'), ('몰리고', 'O'), (' ', 'O'), ('가격', 'O'), (' ', 'O'), ('뛰어', 'O')]"
3,2016.10.09. 오후 8:50,가을 이사철 맞은 주택시장… 아파트값 강세 지속,"[('가을', 'DATE'), (' ', 'O'), ('이사철', 'O'), (' ', 'O'), ('맞은', 'O'), (' ', 'O'), ('주택시장…', 'O'), (' ', 'O'), ('아파트값', 'O'), (' ', 'O'), ('강세', 'O'), (' ', 'O'), ('지속', 'O')]"
4,2016.10.09. 오후 8:03,불붙은 가을 분양시장… 이번주 22곳 쏟아져,"[('불붙은', 'O'), (' ', 'O'), ('가을', 'DATE'), (' ', 'O'), ('분양시장…', 'O'), (' ', 'O'), ('이번주', 'DATE'), (' ', 'O'), ('22곳', 'QUANTITY'), (' ', 'O'), ('쏟아져', 'O')]"
5,2016.10.09. 오후 7:54,코레일 화물연대 파업 대비 컨테이너 운행횟수 증편,"[('코레일 화물연대', 'ORGANIZATION'), (' ', 'O'), ('파업', 'O'), (' ', 'O'), ('대비', 'O'), (' ', 'O'), ('컨테이너', 'O'), (' ', 'O'), ('운행횟수', 'O'), (' ', 'O'), ('증편', 'O')]"
6,2016.10.09. 오후 7:52,장위·영종·전주·창원 등 전국 20곳 8852가구,"[('장위', 'LOCATION'), ('·', 'O'), ('영종', 'LOCATION'), ('·', 'O'), ('전주', 'LOCATION'), ('·', 'O'), ('창원', 'CITY'), (' ', 'O'), ('등', 'O'), (' ', 'O'), ('전국', 'O'), (' ', 'O'), ('20곳', 'QUANTITY'), (' ', 'O'), ('8852가구', 'QUANTITY')]"
7,2016.10.09. 오후 7:51,부동산자산관리 과정 개설,"[('부동산자산관리', 'O'), (' ', 'O'), ('과정', 'O'), (' ', 'O'), ('개설', 'O')]"
8,2016.10.09. 오후 7:50,안산 그랑시티자이 안산의 강남 고잔 내 7628가구 랜드마크,"[('안산', 'LOCATION'), (' ', 'O'), ('그랑시티자이', 'ARTIFACT'), (' ', 'O'), ('안산', 'LOCATION'), ('의', 'O'), (' ', 'O'), ('강남', 'LOCATION'), (' ', 'O'), ('고잔', 'LOCATION'), (' ', 'O'), ('내', 'O'), (' ', 'O'), ('7628가구', 'QUANTITY'), (' ', 'O'), ('랜드마크', 'O')]"
9,2016.10.09. 오후 7:44,불붙은 강남 재건축 시장…3.3㎡당 아파트값 4천만원 돌파,"[('불붙은', 'O'), (' ', 'O'), ('강남', 'LOCATION'), (' ', 'O'), ('재건축', 'O'), (' ', 'O'), ('시장…', 'O'), ('3.3㎡당', 'QUANTITY'), (' ', 'O'), ('아파트값', 'O'), (' ', 'O'), ('4천만원', 'QUANTITY'), (' ', 'O'), ('돌파', 'O')]"
