,date,headline,keyword
0,2020.01.12. 오후 7:55,현대건설 옥수 한남하이츠에 강북 첫 디에이치 제안…18일 시공사 선정,"[('현대건설', 'ORGANIZATION'), (' ', 'O'), ('옥수', 'ARTIFACT'), (' ', 'O'), ('한남하이츠', 'ARTIFACT'), ('에', 'O'), (' ', 'O'), ('강북', 'LOCATION'), (' ', 'O'), ('첫', 'O'), (' ', 'O'), ('디에이치', 'ORGANIZATION'), (' ', 'O'), ('제안…', 'O'), ('18일', 'DATE'), (' ', 'O'), ('시공사', 'O'), (' ', 'O'), ('선정', 'O')]"
1,2020.01.12. 오후 6:46,고가아파트 거래비중 ‘반토막’… 규제피한 9억이하는 상한가,"[('고가아파트', 'O'), (' ', 'O'), ('거래비중', 'O'), (' ', 'O'), ('‘', 'O'), ('반토', 'QUANTITY'), ('막’…', 'O'), (' ', 'O'), ('규제피한', 'O'), (' ', 'O'), ('9억이하', 'QUANTITY'), ('는', 'O'), (' ', 'O'), ('상한가', 'O')]"
2,2020.01.12. 오후 6:46,현대건설 한남재건축에 디에이치 적용 제안,"[('현대건설', 'ORGANIZATION'), (' ', 'O'), ('한남', 'LOCATION'), ('재건축에', 'O'), (' ', 'O'), ('디에이치', 'ORGANIZATION'), (' ', 'O'), ('적용', 'O'), (' ', 'O'), ('제안', 'O')]"
3,2020.01.12. 오후 6:46,초고층 건축물 시장 선도하는 포스코건설,"[('초고층', 'O'), (' ', 'O'), ('건축물', 'O'), (' ', 'O'), ('시장', 'O'), (' ', 'O'), ('선도하는', 'O'), (' ', 'O'), ('포스코건설', 'ORGANIZATION')]"
4,2020.01.12. 오후 6:46,서울 집값 내렸지만 인기지역은 오름세… 풍선효과 재연 되나,"[('서울', 'CITY'), (' ', 'O'), ('집값', 'O'), (' ', 'O'), ('내렸지만', 'O'), (' ', 'O'), ('인기지역은', 'O'), (' ', 'O'), ('오름세…', 'O'), (' ', 'O'), ('풍선효과', 'O'), (' ', 'O'), ('재연', 'O'), (' ', 'O'), ('되나', 'O')]"
5,2020.01.12. 오후 6:35,현대건설 옥수동 한남하이츠에 강북 첫 ‘디에이치’ 최고급 브랜드,"[('현대건설', 'ORGANIZATION'), (' ', 'O'), ('옥수동', 'LOCATION'), (' ', 'O'), ('한남하이츠', 'ARTIFACT'), ('에', 'O'), (' ', 'O'), ('강북', 'LOCATION'), (' ', 'O'), ('첫', 'O'), (' ', 'O'), ('‘', 'O'), ('디에이치', 'ORGANIZATION'), ('’', 'O'), (' ', 'O'), ('최고급', 'O'), (' ', 'O'), ('브랜드', 'O')]"
6,2020.01.12. 오후 6:35,인천 뉴스테이 잇단 무산… 일반재개발 전환,"[('인천', 'CITY'), (' ', 'O'), ('뉴스테이', 'ARTIFACT'), (' ', 'O'), ('잇단', 'O'), (' ', 'O'), ('무산…', 'O'), (' ', 'O'), ('일반재개발', 'O'), (' ', 'O'), ('전환', 'O')]"
7,2020.01.12. 오후 6:35,뜰 곳만 몰린다… 새해 첫 분양단지들 성적 ‘극과 극’,"[('뜰', 'O'), (' ', 'O'), ('곳만', 'O'), (' ', 'O'), ('몰린다…', 'O'), (' ', 'O'), ('새해', 'DATE'), (' ', 'O'), ('첫', 'O'), (' ', 'O'), ('분양단지들', 'O'), (' ', 'O'), ('성적', 'O'), (' ', 'O'), ('‘극과', 'O'), (' ', 'O'), ('극’', 'O')]"
8,2020.01.12. 오후 6:35,GS건설 컨소시엄 부천영상문화단지 개발 협약,"[('GS건설', 'ORGANIZATION'), (' ', 'O'), ('컨소시엄', 'O'), (' ', 'O'), ('부천영상문화단지', 'LOCATION'), (' ', 'O'), ('개발', 'O'), (' ', 'O'), ('협약', 'O')]"
9,2020.01.12. 오후 6:35,창원월영 ‘마린애시앙’ 16일 선착순 계약,"[('창원월영', 'ORGANIZATION'), (' ', 'O'), ('‘', 'O'), ('마린애시앙', 'ORGANIZATION'), ('’', 'O'), (' ', 'O'), ('16일', 'DATE'), (' ', 'O'), ('선착순', 'O'), (' ', 'O'), ('계약', 'O')]"
10,2020.01.12. 오후 6:33,입주물량 줄고 대단지 이주…불안한 강남권 전세,"[('입주물량', 'O'), (' ', 'O'), ('줄고', 'O'), (' ', 'O'), ('대단지', 'O'), (' ', 'O'), ('이주…불안한', 'O'), (' ', 'O'), ('강남권', 'LOCATION'), (' ', 'O'), ('전세', 'O')]"
