,date,headline,keyword
34,2006.12.10. 오후 4:51,부동산 단신 서울 회현동  ‘리더스뷰 남산’ 분양 外,"['부동산', '단신', '서울', '회현', '회현동', '동', '리더스', '리더스뷰', '뷰', '남산', '분양']"
35,2006.12.10. 오후 4:51,내년 집값  ‘재상승 불씨’ 곳곳에…봄 이사철이 고비,"['내년', '집값', '상승', '불씨', '곳곳', '봄', '이사철', '고비']"
36,2006.12.10. 오후 4:51,기업소식 GS 외주·자재비 집행일 당겨 外,"['기업소', '외주', '자재비', '집행', '집행일', '일']"
37,2006.12.10. 오후 4:42,분양하이라이트 전국 10여곳 모델하우스 오픈,"['분양', '분양하이라이트', '하이라이트', '전국', '10', '10여곳', '여', '곳', '모델', '모델하우스', '하우스', '오픈']"
38,2006.12.10. 오후 4:42,분양정보 동양건설 부천 소사 동양파라곤,"['분양', '분양정보', '정보', '동양', '동양건설', '건설', '부천', '소사', '동양', '동양파라', '파라']"
39,2006.12.10. 오후 4:42,분양정보 당진군 삼성 웰스빌 625가구,"['분양', '분양정보', '정보', '당진', '당진군', '군', '삼성', '웰스', '625', '625가구', '가구']"
40,2006.12.10. 오후 4:42,분양정보 대우 대덕 푸르지오 302가구,"['분양', '분양정보', '정보', '대우', '대덕', '오', '302', '302가구', '가구']"
41,2006.12.10. 오후 4:36,서울 서북부 신주거벨트로 부상,"['서울', '서북부', '주거', '주거벨트', '벨트', '부상']"
42,2006.12.10. 오후 4:36,고양 삼송지구 일반분양 9200가구 중대형으로,"['고양', '삼송', '삼송지구', '지구', '일반', '일반분양', '분양', '9200', '9200가구', '가구', '중대']"
43,2006.12.10. 오후 4:26,서울 아파트분양가 年19% 올랐다,"['서울', '아파트', '아파트분양', '분양', '19']"
44,2006.12.10. 오후 3:48,아파트 주간시세 서울 강북 아파트값 강세 이어져,"['아파트', '주간', '주간시세', '시세', '서울', '강북', '아파트값', '값', '강세']"
45,2006.12.10. 오후 3:30,이번주 분양일정 12월11∼12월16일,"['이번', '이번주', '주', '분양', '분양일정', '일정', '12', '12월11', '월', '11', '12월16일', '16', '일']"
46,2006.12.10. 오후 3:27,시민단체 선정 부동산 5적… 1위는 노무현 대통령,"['시민', '시민단체', '단체', '선정', '부동산', '5', '5적', '적', '1', '1위', '위', '노무현', '대통령']"
47,2006.12.10. 오후 3:21,주상복합 주거비율확대 힘들듯,"['주상', '주상복합', '복합', '주거', '주거비율확대', '비율', '확대']"
48,2006.12.10. 오후 3:21,대덕 테크노밸리 푸르지오,"['대덕', '테크노', '테크노밸리', '밸리']"
49,2006.12.10. 오후 3:21,재개발 주변 단독·빌라 ‘들썩’,"['재개발', '주변', '단독']"
50,2006.12.10. 오후 3:16,종부세 신고접수 막바지 국세청장 현장 점검,"['종', '종부세', '부세', '신고', '신고접수', '접수', '막바지', '국세청장', '현장', '점검']"
51,2006.12.10. 오후 3:13,탄현 주상복합 검찰수사 제자리,"['현', '주상', '주상복합', '복합', '검찰', '검찰수사', '수사', '제자리']"
52,2006.12.10. 오후 1:38,대림산업 “세계 3위 규모의 현수교 세운다”,"['대림', '대림산업', '산업', '세계', '3', '3위', '위', '규모', '현수교']"
53,2006.12.10. 오후 1:36,수도권 분양가 상승률 매매가 앞질러,"['수도권', '분양', '상승률', '매매']"
54,2006.12.10. 오후 1:25,부산 실내 스키돔 스노우캐슬 분양,"['부산', '실내', '스키', '스키돔', '돔', '스노우', '스노우캐슬', '캐슬', '분양']"
55,2006.12.10. 오후 1:18,‘손에 잡히는 경매’ 1기 과정 개설,"['손', '경매', '1', '1기', '기', '과정', '개설']"
56,2006.12.10. 오전 11:08,고양 삼송지구 1만6000가구 2009년 분양,"['고양', '삼송', '삼송지구', '지구', '1', '1만6000가구', '만', '6000', '가구', '2009', '2009년', '년', '분양']"
57,2006.12.10. 오전 11:01,고양 삼송 임대단지 2만2천가구로 늘린다,"['고양', '삼송', '임대', '임대단지', '단지', '2', '2만2천', '만', '천', '가구']"
58,2006.12.10. 오전 11:01,고양 삼송지구 본격 개발된다,"['고양', '삼송', '삼송지구', '지구', '본격', '개발']"
59,2006.12.10. 오전 11:00,인천공항 항행안전시설 5만시간 무중단,"['인천', '인천공항', '공항', '항행', '항행안전시설', '안전', '시설', '5', '5만시간', '만', '시간', '무', '무중단', '중단']"
60,2006.12.10. 오전 11:00,고양 삼송지구 2009년 분양..공급확대 추진,"['고양', '삼송', '삼송지구', '지구', '2009', '2009년', '년', '분양', '공급', '공급확대', '확대', '추진']"
61,2006.12.10. 오전 10:35,한나라 ‘반값 아파트’，“불가능” 42.5% VS “가능” 33.8%,"['한나라', '반값', '아파트', '불가능', '42.5', '가능', '33.8']"
62,2006.12.10. 오전 10:21,내년 서울뉴타운 분양 본격화,"['내년', '서울', '서울뉴타운', '뉴', '타운', '분양', '본격화']"
