,total,하락세,하락,급락,내림세,하락…,하락...,하락..
630,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
631,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,13.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
634,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
635,16.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0
636,13.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0
637,22.0,2.0,17.0,0.0,0.0,3.0,0.0,0.0
638,22.0,5.0,8.0,1.0,0.0,5.0,1.0,2.0
639,28.0,3.0,22.0,2.0,0.0,1.0,0.0,0.0
640,25.0,3.0,19.0,0.0,0.0,2.0,1.0,0.0
641,27.0,0.0,17.0,6.0,0.0,4.0,0.0,0.0
642,39.0,6.0,25.0,2.0,0.0,3.0,1.0,2.0
643,20.0,6.0,11.0,1.0,0.0,2.0,0.0,0.0
644,20.0,3.0,11.0,1.0,0.0,5.0,0.0,0.0
645,22.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0
646,30.0,2.0,22.0,3.0,1.0,0.0,1.0,1.0
647,55.0,11.0,27.0,2.0,0.0,13.0,1.0,1.0
648,25.0,3.0,16.0,1.0,1.0,2.0,2.0,0.0
649,11.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0
650,13.0,2.0,9.0,0.0,1.0,1.0,0.0,0.0
651,16.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0
652,18.0,3.0,8.0,0.0,0.0,5.0,2.0,0.0
653,23.0,2.0,14.0,1.0,0.0,4.0,1.0,1.0
654,29.0,2.0,17.0,1.0,0.0,9.0,0.0,0.0
655,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
656,12.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0
657,11.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0
658,7.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0
659,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
660,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
661,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
662,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
663,9.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0
664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0
666,14.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0
667,8.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0
668,22.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0
669,46.0,7.0,28.0,7.0,2.0,2.0,0.0,0.0
670,33.0,8.0,19.0,2.0,0.0,4.0,0.0,0.0
671,32.0,6.0,23.0,0.0,1.0,2.0,0.0,0.0
672,35.0,5.0,24.0,0.0,0.0,6.0,0.0,0.0
673,39.0,9.0,21.0,1.0,0.0,8.0,0.0,0.0
674,46.0,13.0,28.0,0.0,0.0,5.0,0.0,0.0
675,35.0,10.0,19.0,2.0,0.0,4.0,0.0,0.0
676,34.0,8.0,21.0,0.0,2.0,3.0,0.0,0.0
677,38.0,4.0,25.0,2.0,0.0,7.0,0.0,0.0
678,34.0,5.0,22.0,3.0,0.0,3.0,1.0,0.0
679,52.0,5.0,36.0,2.0,0.0,9.0,0.0,0.0
680,60.0,17.0,26.0,4.0,2.0,11.0,0.0,0.0
681,42.0,6.0,23.0,3.0,1.0,6.0,3.0,0.0
682,42.0,4.0,32.0,0.0,1.0,5.0,0.0,0.0
683,31.0,7.0,16.0,3.0,2.0,3.0,0.0,0.0
684,50.0,3.0,33.0,1.0,1.0,8.0,3.0,1.0
685,45.0,5.0,32.0,1.0,0.0,6.0,0.0,1.0
686,39.0,5.0,31.0,0.0,0.0,2.0,1.0,0.0
