,total,상승세,상승,올라,급등,상승…,오름세,상승..,상승...
612,23.0,3.0,9.0,7.0,0.0,1.0,1.0,1.0,1.0
613,9.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0
614,28.0,5.0,13.0,2.0,4.0,1.0,2.0,1.0,0.0
615,44.0,12.0,24.0,6.0,0.0,0.0,1.0,0.0,1.0
616,33.0,6.0,16.0,9.0,0.0,0.0,2.0,0.0,0.0
617,36.0,10.0,15.0,7.0,0.0,3.0,0.0,0.0,1.0
618,20.0,2.0,12.0,2.0,1.0,0.0,2.0,0.0,1.0
619,26.0,8.0,9.0,4.0,2.0,2.0,1.0,0.0,0.0
620,30.0,4.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0
621,28.0,6.0,14.0,2.0,2.0,3.0,0.0,1.0,0.0
622,23.0,10.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0
623,18.0,5.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0
624,22.0,6.0,10.0,2.0,1.0,2.0,1.0,0.0,0.0
625,17.0,3.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0
626,50.0,9.0,19.0,6.0,7.0,5.0,2.0,1.0,1.0
627,43.0,12.0,17.0,6.0,5.0,2.0,0.0,0.0,1.0
628,41.0,12.0,21.0,5.0,1.0,2.0,0.0,0.0,0.0
629,47.0,8.0,16.0,7.0,7.0,6.0,2.0,0.0,1.0
630,50.0,11.0,14.0,8.0,6.0,7.0,0.0,2.0,2.0
631,23.0,3.0,5.0,6.0,3.0,2.0,3.0,0.0,1.0
632,37.0,5.0,11.0,3.0,6.0,6.0,4.0,2.0,0.0
633,25.0,5.0,9.0,1.0,5.0,3.0,2.0,0.0,0.0
634,22.0,3.0,12.0,1.0,3.0,2.0,0.0,0.0,1.0
635,21.0,7.0,4.0,2.0,2.0,1.0,4.0,1.0,0.0
636,20.0,8.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0
637,8.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0
638,13.0,3.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0
639,19.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0
640,16.0,4.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0
641,20.0,6.0,4.0,1.0,7.0,2.0,0.0,0.0,0.0
642,19.0,2.0,12.0,0.0,0.0,2.0,1.0,0.0,2.0
643,78.0,3.0,29.0,16.0,14.0,13.0,2.0,1.0,0.0
644,17.0,5.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0
645,16.0,3.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0
646,10.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
647,33.0,3.0,13.0,7.0,1.0,4.0,1.0,2.0,2.0
648,9.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0
649,10.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
650,13.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0
651,18.0,4.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0
652,30.0,3.0,15.0,5.0,1.0,1.0,4.0,0.0,1.0
653,29.0,6.0,12.0,8.0,0.0,2.0,0.0,1.0,0.0
654,36.0,5.0,22.0,5.0,2.0,1.0,1.0,0.0,0.0
655,45.0,2.0,24.0,8.0,2.0,6.0,1.0,0.0,2.0
656,20.0,4.0,8.0,4.0,0.0,1.0,3.0,0.0,0.0
