,total,약세,안정세,보합세,보합
144,0.0,0.0,0.0,0.0,0.0
145,1.0,1.0,0.0,0.0,0.0
146,2.0,2.0,0.0,0.0,0.0
147,1.0,0.0,1.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0
150,1.0,1.0,0.0,0.0,0.0
151,2.0,2.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0
153,1.0,1.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0
156,1.0,1.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0
160,1.0,0.0,0.0,1.0,0.0
161,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0
163,1.0,0.0,0.0,1.0,0.0
164,1.0,0.0,0.0,1.0,0.0
165,0.0,0.0,0.0,0.0,0.0
166,1.0,0.0,0.0,1.0,0.0
167,1.0,1.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0
169,3.0,2.0,0.0,1.0,0.0
170,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0
173,3.0,2.0,0.0,1.0,0.0
174,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0,0.0
176,2.0,1.0,0.0,1.0,0.0
177,0.0,0.0,0.0,0.0,0.0
178,1.0,0.0,0.0,0.0,1.0
179,0.0,0.0,0.0,0.0,0.0
180,1.0,1.0,0.0,0.0,0.0
181,2.0,0.0,0.0,2.0,0.0
182,0.0,0.0,0.0,0.0,0.0
183,1.0,1.0,0.0,0.0,0.0
184,2.0,0.0,2.0,0.0,0.0
185,1.0,0.0,0.0,1.0,0.0
186,2.0,2.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0
194,1.0,1.0,0.0,0.0,0.0
195,2.0,2.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0
197,1.0,1.0,0.0,0.0,0.0
198,1.0,0.0,0.0,1.0,0.0
199,0.0,0.0,0.0,0.0,0.0
200,2.0,1.0,1.0,0.0,0.0
201,4.0,2.0,1.0,1.0,0.0
202,2.0,1.0,0.0,1.0,0.0
203,1.0,0.0,0.0,1.0,0.0
204,3.0,2.0,0.0,1.0,0.0
205,1.0,1.0,0.0,0.0,0.0
206,2.0,2.0,0.0,0.0,0.0
207,1.0,1.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0
209,2.0,1.0,0.0,1.0,0.0
210,2.0,1.0,0.0,1.0,0.0
